current_time,temp,humidity,main
2026-03-05 05:37:47,11.76,40,Haze
2026-03-05 06:09:10,11.76,43,Haze
2026-03-05 07:10:51,10.48,36,Clouds
2026-03-05 07:55:54,8.87,57,Clouds
2026-03-05 08:51:21,10.76,46,Haze
2026-03-05 09:35:19,6.76,76,Rain
2026-03-05 10:23:00,4.76,93,Rain
2026-03-05 11:06:13,4.74,91,Rain
2026-03-05 11:47:48,3.74,92,Rain
2026-03-05 12:28:39,3.74,92,Rain
2026-03-05 13:44:18,1.89,99,Rain
2026-03-05 14:33:52,1.89,99,Rain
2026-03-05 15:32:05,0.76,100,Snow
2026-03-05 17:44:01,0.76,100,Mist
2026-03-05 19:01:37,2.45,83,Clouds
2026-03-05 19:58:16,-0.24,100,Mist
2026-03-05 20:48:55,2.67,74,Clouds
2026-03-05 21:21:18,2.67,74,Clouds
2026-03-05 21:56:04,2.19,79,Clouds
2026-03-05 22:37:19,2.19,79,Clouds
2026-03-05 23:41:02,1.76,93,Mist
2026-03-06 01:00:05,1.76,93,Mist
2026-03-06 03:32:45,3.76,75,Clouds
2026-03-06 05:00:14,3.76,75,Haze
2026-03-06 05:55:35,3.5,56,Clouds
2026-03-06 06:55:24,4.26,45,Clouds
2026-03-06 07:40:36,2.76,70,Haze
2026-03-06 08:03:15,4.12,44,Clouds
2026-03-06 08:54:03,2.76,70,Haze
2026-03-06 09:37:48,2.15,46,Clouds
2026-03-06 10:06:13,2.15,46,Clouds
2026-03-06 10:54:31,0.76,75,Haze
2026-03-06 11:29:38,1.23,45,Clouds
2026-03-06 11:54:29,1.76,64,Clouds
2026-03-06 12:57:17,0.29,41,Clear
2026-03-06 13:58:22,-0.24,69,Clouds
2026-03-06 14:49:19,-0.03,39,Clear
2026-03-06 15:24:15,-1.24,69,Clear
2026-03-06 15:59:57,-1.24,69,Clear
2026-03-06 16:55:41,-0.93,35,Clear
2026-03-06 17:38:26,-1.32,34,Clear
2026-03-06 18:05:23,-1.24,69,Clear
2026-03-06 19:02:14,-1.05,35,Clear
2026-03-06 19:44:23,-1.4,34,Clear
2026-03-06 20:02:45,-1.4,34,Clear
2026-03-06 20:46:59,-3.24,80,Clear
2026-03-06 21:16:25,-1.48,34,Clear
2026-03-06 21:47:24,-3.24,68,Clear
2026-03-06 22:13:32,-1.45,33,Clear
2026-03-06 22:49:32,-3.24,68,Clear
2026-03-06 23:16:01,-1.24,59,Clear
2026-03-06 23:45:13,-0.76,30,Clear
2026-03-07 00:01:09,-0.76,30,Clear
2026-03-07 02:41:38,2.19,19,Clear
2026-03-07 04:15:08,3.47,16,Clear
2026-03-07 05:11:07,3.76,41,Clear
2026-03-07 05:53:09,4.76,36,Clear
2026-03-07 06:35:58,4.92,16,Clear
2026-03-07 07:07:02,4.82,17,Clear
2026-03-07 07:42:03,4.33,17,Clear
2026-03-07 07:58:05,4.76,33,Clear
